LOG_CONTENT
"[['207.83.76.108', 'GET', '/usr/login', '502', '5009', datetime.date(2021, 2, 18), datetime.time(1, 43, 23)]]"
"[['60.21.104.170', 'DELETE', '/usr/admin/developer', '404', '5032', datetime.date(2023, 10, 3), datetime.time(7, 32, 31)]]"
"[['26.188.222.109', 'POST', '/usr/register', '403', '5089', datetime.date(2021, 10, 25), datetime.time(4, 33, 10)]]"
"[['7.201.214.198', 'PUT', '/usr/admin', '502', '5029', datetime.date(2021, 2, 14), datetime.time(9, 0, 47)]]"
"[['145.70.13.248', 'GET', '/usr/login', '404', '5009', datetime.date(2022, 2, 28), datetime.time(5, 8, 19)]]"
"[['99.118.200.249', 'GET', '/usr', '303', '5048', datetime.date(2020, 7, 14), datetime.time(1, 30, 35)]]"
"[['22.138.170.44', 'PUT', '/usr/admin', '500', '5016', datetime.date(2022, 3, 6), datetime.time(11, 42, 26)]]"
"[['3.64.216.79', 'DELETE', '/usr/login', '404', '4976', datetime.date(2020, 10, 5), datetime.time(11, 20, 36)]]"
"[['146.156.34.31', 'GET', '/usr/admin', '502', '4870', datetime.date(2020, 4, 27), datetime.time(12, 35, 59)]]"
"[['51.208.185.98', 'DELETE', '/usr', '303', '5039', datetime.date(2022, 2, 8), datetime.time(5, 36, 21)]]"
"[['22.88.81.252', 'DELETE', '/usr/login', '304', '4921', datetime.date(2020, 6, 17), datetime.time(5, 14, 30)]]"
"[['138.245.6.121', 'DELETE', '/usr', '303', '4975', datetime.date(2020, 7, 16), datetime.time(4, 36, 42)]]"
"[['213.185.176.196', 'PUT', '/usr/login', '404', '4935', datetime.date(2023, 4, 7), datetime.time(10, 54, 6)]]"
"[['188.134.195.214', 'POST', '/usr/register', '502', '5017', datetime.date(2020, 7, 1), datetime.time(1, 6, 51)]]"
"[['84.198.209.36', 'PUT', '/usr/admin', '502', '4992', datetime.date(2020, 2, 22), datetime.time(4, 15, 10)]]"
"[['81.166.142.242', 'GET', '/usr/login', '200', '4981', datetime.date(2020, 12, 5), datetime.time(11, 43, 13)]]"
"[['117.59.245.152', 'DELETE', '/usr', '502', '5035', datetime.date(2022, 9, 17), datetime.time(2, 3, 25)]]"
"[['222.147.254.96', 'DELETE', '/usr/admin/developer', '200', '5027', datetime.date(2023, 1, 2), datetime.time(10, 8, 5)]]"
"[['105.195.148.65', 'POST', '/usr/login', '404', '5001', datetime.date(2023, 11, 28), datetime.time(9, 34, 56)]]"
"[['215.127.181.177', 'DELETE', '/usr/register', '304', '5005', datetime.date(2021, 9, 23), datetime.time(7, 7, 47)]]"
"[['75.248.60.134', 'GET', '/usr/admin/developer', '200', '5024', datetime.date(2021, 3, 28), datetime.time(1, 38, 58)]]"
"[['97.10.221.196', 'PUT', '/usr', '404', '5047', datetime.date(2021, 6, 14), datetime.time(10, 53, 48)]]"
"[['186.251.64.147', 'GET', '/usr/admin/developer', '404', '4941', datetime.date(2021, 11, 2), datetime.time(10, 57, 51)]]"
"[['1.33.154.130', 'GET', '/usr', '403', '4973', datetime.date(2022, 10, 29), datetime.time(4, 33, 2)]]"
"[['118.70.136.164', 'DELETE', '/usr/register', '304', '4895', datetime.date(2022, 4, 4), datetime.time(9, 19, 47)]]"
"[['214.134.130.53', 'GET', '/usr', '303', '5008', datetime.date(2022, 11, 26), datetime.time(9, 2, 16)]]"
"[['167.55.93.28', 'GET', '/usr/register', '404', '4996', datetime.date(2023, 3, 16), datetime.time(8, 3, 29)]]"
"[['88.216.1.157', 'PUT', '/usr/admin/developer', '304', '4930', datetime.date(2022, 6, 13), datetime.time(10, 16, 31)]]"
"[['16.139.132.105', 'DELETE', '/usr/admin', '403', '4955', datetime.date(2023, 5, 28), datetime.time(5, 14, 44)]]"
"[['169.247.121.94', 'POST', '/usr/login', '200', '5017', datetime.date(2021, 5, 1), datetime.time(9, 21)]]"
"[['4.220.37.38', 'PUT', '/usr', '304', '4911', datetime.date(2020, 6, 16), datetime.time(6, 29, 10)]]"
"[['37.29.129.2', 'PUT', '/usr/login', '500', '4877', datetime.date(2021, 12, 22), datetime.time(1, 4, 53)]]"
"[['99.129.125.31', 'PUT', '/usr', '502', '4987', datetime.date(2021, 7, 17), datetime.time(1, 25, 59)]]"
"[['104.173.65.62', 'POST', '/usr', '304', '4902', datetime.date(2022, 8, 29), datetime.time(5, 49, 12)]]"
"[['20.69.193.21', 'POST', '/usr/admin/developer', '404', '5045', datetime.date(2020, 10, 17), datetime.time(9, 53, 23)]]"
"[['116.81.165.144', 'POST', '/usr/login', '403', '5025', datetime.date(2022, 7, 27), datetime.time(5, 0, 4)]]"
"[['140.140.149.102', 'GET', '/usr/admin/developer', '304', '4978', datetime.date(2021, 11, 22), datetime.time(8, 34, 22)]]"
"[['75.229.231.6', 'DELETE', '/usr/admin/developer', '500', '4966', datetime.date(2023, 4, 10), datetime.time(12, 50, 54)]]"
"[['190.35.48.135', 'PUT', '/usr/login', '500', '4963', datetime.date(2022, 11, 4), datetime.time(11, 46, 25)]]"
"[['64.114.39.103', 'POST', '/usr/admin', '303', '4925', datetime.date(2020, 6, 14), datetime.time(1, 56, 25)]]"
"[['158.113.225.223', 'DELETE', '/usr/login', '404', '5043', datetime.date(2023, 7, 11), datetime.time(8, 28, 55)]]"
"[['116.132.97.118', 'GET', '/usr/register', '500', '4979', datetime.date(2023, 4, 24), datetime.time(10, 41, 12)]]"
"[['92.12.66.107', 'POST', '/usr/login', '502', '5013', datetime.date(2023, 10, 7), datetime.time(9, 16, 18)]]"
