IP,Date&Time,RequestMethod,URL,StatusCode,Size,UserAgent,RandomLogNumber
36.98.122.42,09/Dec/2021:04:45:12 +0300,DELETE,/usr/register HTTP/1.1,403,5091,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Safari/537.36,433
113.163.10.244,30/Nov/2021:04:13:09 +0300,DELETE,/usr/admin/developer HTTP/1.1,403,5004,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML like Gecko) Version/7.0.3 Safari/7046A194A,4867
172.175.17.69,08/Jun/2023:07:06:32 +0300,GET,/usr/admin/developer HTTP/1.1,500,4979,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,3783
179.57.18.58,08/Jul/2023:09:04:55 +0300,GET,/usr/admin/developer HTTP/1.1,200,4995,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,638
210.80.165.181,30/Jul/2021:08:22:32 +0300,POST,/usr/admin/developer HTTP/1.1,304,4916,Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1,3952
43.174.174.36,05/Jun/2022:11:52:37 +0300,POST,/usr/admin/developer HTTP/1.1,404,4982,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,3713
84.104.7.214,21/Oct/2022:05:14:06 +0300,PUT,/usr/admin/developer HTTP/1.1,200,4897,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,544
17.37.222.158,25/Jun/2022:03:57:21 +0300,GET,/usr/register HTTP/1.1,500,4977,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,635
72.253.72.241,10/Feb/2022:09:28:59 +0300,DELETE,/usr HTTP/1.1,200,4935,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,352
210.198.150.115,14/Apr/2021:12:17:14 +0300,POST,/usr/admin/developer HTTP/1.1,404,5002,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,1755
