IP,Date&Time,RequestMethod,URL,StatusCode,Size,UserAgent,RandomLogNumber
36.184.72.204,08/Apr/2021:07:20:44 +0300,PUT,/usr/admin/developer HTTP/1.1,502,5083,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,949
77.17.101.10,20/Jan/2022:02:12:48 +0300,PUT,/usr/admin HTTP/1.1,500,5017,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,1446
24.36.243.203,10/Apr/2021:04:53:53 +0300,PUT,/usr/login HTTP/1.1,304,5044,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,973
51.223.112.196,23/Apr/2023:04:38:22 +0300,PUT,/usr/register HTTP/1.1,304,4969,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,4980
195.144.176.118,04/Sep/2022:01:07:04 +0300,GET,/usr/register HTTP/1.1,403,4916,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML like Gecko) Version/7.0.3 Safari/7046A194A,583
199.87.163.235,14/Sep/2021:12:00:27 +0300,POST,/usr/admin/developer HTTP/1.1,304,5042,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,1490
104.19.187.137,24/Jul/2021:03:27:13 +0300,DELETE,/usr/admin/developer HTTP/1.1,404,5020,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,3000
28.221.155.78,19/Aug/2020:03:57:43 +0300,DELETE,/usr/register HTTP/1.1,404,4936,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,462
1.96.132.0,30/Jun/2021:08:25:41 +0300,GET,/usr/admin/developer HTTP/1.1,200,4965,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,386
146.220.141.129,06/Apr/2022:12:19:13 +0300,DELETE,/usr/login HTTP/1.1,403,5024,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Safari/537.36,171
192.211.122.124,23/Dec/2022:04:25:03 +0300,PUT,/usr/register HTTP/1.1,304,5032,Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1,819
34.60.111.220,06/Mar/2020:11:33:53 +0300,PUT,/usr/login HTTP/1.1,403,4954,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,2666
75.70.171.93,16/Apr/2022:06:59:00 +0300,DELETE,/usr/register HTTP/1.1,200,5039,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,2747
210.204.129.127,17/Aug/2021:03:09:53 +0300,PUT,/usr HTTP/1.1,403,4955,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML like Gecko) Version/7.0.3 Safari/7046A194A,3761
68.161.241.48,24/Sep/2022:10:58:17 +0300,GET,/usr/admin HTTP/1.1,500,4906,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,2699
47.192.54.65,24/Jun/2023:08:15:52 +0300,DELETE,/usr/admin/developer HTTP/1.1,502,5004,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,2098
12.60.28.96,28/Mar/2020:09:56:49 +0300,POST,/usr/login HTTP/1.1,500,4955,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,631
219.255.103.97,01/Apr/2023:12:05:18 +0300,POST,/usr/login HTTP/1.1,500,4993,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Safari/537.36,4600
25.205.76.20,14/Nov/2022:01:45:43 +0300,PUT,/usr/login HTTP/1.1,304,5021,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Safari/537.36,2987
50.56.21.96,06/May/2021:08:04:11 +0300,DELETE,/usr/login HTTP/1.1,403,4980,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Safari/537.36,1452
136.130.31.13,16/Mar/2023:05:34:02 +0300,DELETE,/usr/register HTTP/1.1,303,5077,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML like Gecko) Version/7.0.3 Safari/7046A194A,1745
31.146.164.77,23/Aug/2020:05:28:29 +0300,GET,/usr/login HTTP/1.1,404,5047,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,673
41.25.15.200,14/Dec/2020:02:53:42 +0300,DELETE,/usr/register HTTP/1.1,404,4980,Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1,3026
223.198.120.65,05/Mar/2020:07:28:20 +0300,DELETE,/usr/login HTTP/1.1,500,5078,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,1559
81.154.249.219,29/Sep/2020:11:15:00 +0300,DELETE,/usr/admin/developer HTTP/1.1,500,5020,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,212
164.167.122.3,05/Feb/2022:09:01:02 +0300,DELETE,/usr/login HTTP/1.1,304,4968,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,3964
187.233.122.47,11/May/2021:03:27:15 +0300,PUT,/usr/register HTTP/1.1,403,4971,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,824
128.107.0.209,10/Dec/2022:06:32:18 +0300,GET,/usr/admin HTTP/1.1,303,5059,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,4995
10.168.34.173,18/Sep/2023:04:53:06 +0300,POST,/usr/admin/developer HTTP/1.1,404,4962,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,1228
104.251.110.149,26/Sep/2022:03:54:33 +0300,POST,/usr/admin HTTP/1.1,404,4984,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML like Gecko) Version/7.0.3 Safari/7046A194A,2399
148.30.136.152,14/Dec/2020:02:38:22 +0300,DELETE,/usr/admin/developer HTTP/1.1,502,4940,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML like Gecko) Version/7.0.3 Safari/7046A194A,3626
43.208.132.61,16/Jan/2020:12:22:46 +0300,DELETE,/usr HTTP/1.1,502,5041,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,741
